id_delibera;estrattore;format;reference_source;marker_precision;marker_recall;boundary_accuracy;text_fidelity;noise_exclusion;overall_score;issues;notes
ATTO_006;DOCLING;JSON;pdf_text_layer;100;100;100;98;100;99;"Minor formatting differences: uso di virgolette singole invece delle guillemette italiane « »; spazio extra prima della virgola in 'confinanti ,'";"Ha estratto correttamente tutti i marcatori PREMESSO, VISTO, CONSIDERATO, RITENUTO e ACQUISITI PARERI, mantenendo l'ordine e il testo fino alla riga precedente la votazione; ha escluso firme, pubblicazioni e dispositivo come richiesto."
ATTO_006;DOCLING;MARKDOWN;pdf_text_layer;100;100;100;95;100;98;"Minor formatting differences: uso di virgolette singole invece delle guillemette italiane « »; spazio extra prima della virgola in 'confinanti ,' | Entità HTML &lt;&lt; e &gt;&gt; utilizzate invece delle guillemette « » nel riferimento alla deliberazione del Comune di Spigno Saturnia";Come per il JSON, ha catturato tutti i marcatori e il testo fino alla sezione di votazione, ma le entità HTML introducono una deviazione dal testo originale che riduce leggermente la fedeltà.
ATTO_007;DOCLING;JSON;pdf_text_layer;68;55;30;50;90;58;Incorrect marker labels: VISTO used instead of VISTA/VISTE in several entries | Missing header and meeting details (assessors table, date/time, secretary) | Stopped before the 'PROPONE DI DELIBERARE' section and subsequent enumerated points | Omitted later parts of the deliberation (DELIBERA, signatures, certificate, executivity) | No hallucinations absent but large omissions reduce fidelity;The extraction accurately captures the core preamble statements but mislabels several markers and omits significant portions of the act, both before and after the captured block.
ATTO_007;DOCLING;MARKDOWN;pdf_text_layer;68;55;30;50;90;58;Incorrect marker labels: VISTO used instead of VISTA/VISTE in several entries | Missing header and meeting details (assessors table, date/time, secretary) | Stopped before the 'PROPONE DI DELIBERARE' section and subsequent enumerated points | Omitted later parts of the deliberation (DELIBERA, signatures, certificate, executivity) | No hallucinations, but extensive omissions affect overall fidelity;Mirrors the JSON extraction: correct core narrative but flawed marker labeling and incomplete coverage of the act.
ATTO_008;DOCLING;JSON;pdf_text_layer;45;40;30;45;80;40;Marker VISTO used instead of correct VISTI | Marker ACQUISITI_PARERI used instead of correct ACQUISITI | Missing DELIBERA section and all subsequent deliberative points | Missing post-deliberation sections (Letto, confermato e sottoscritto, ATTESTA, publication attestation);The extracted text up to ACQUISITI is faithful to the source, preserving bullet points and numeric details, but the segmentation stops before the core deliberativa and attestation parts, drastically reducing recall and boundary accuracy.
ATTO_008;DOCLING;MARKDOWN;pdf_text_layer;45;40;30;35;80;35;Marker VISTO used instead of correct VISTI | Marker ACQUISITI_PARERI used instead of correct ACQUISITI | Missing DELIBERA section and all subsequent deliberative points | Lost bullet‑point formatting and line breaks, merging list items into a single paragraph | Inconsistent spacing around punctuation (e.g., extra spaces before commas);Content is captured but presentation is degraded: bullet lists are flattened, affecting readability and fidelity. Like the JSON version, it truncates before the DELIBERA and attestation sections, harming recall and boundary accuracy.
ATTO_009;DOCLING;JSON;pdf_text_layer;100;100;92;78;85;89;Case variations (uppercase/lowercase) in marker text | Missing bullet points in ACQUISITI_PARERI and ACQUISITO blocks | Missing space before 'quale' in DATO_ATTO block | Extra inclusion of table heading 'ANNO 2026' within VISTO_1 block | Straight apostrophe used instead of typographic apostrophe in some places;All expected markers are present, correctly labeled, and in the right order. The extraction stops before the voting section, signatures, and publication, satisfying noise exclusion for those elements. However, minor formatting deviations and the inadvertent inclusion of the table heading affect boundary accuracy and text fidelity.
ATTO_009;DOCLING;MARKDOWN;pdf_text_layer;100;100;92;78;85;89;Case variations (uppercase/lowercase) in marker text | Missing bullet points in ACQUISITI_PARERI and ACQUISITO blocks | Missing space before 'quale' in DATO_ATTO block | Extra inclusion of table heading 'ANNO 2026' within VISTO_1 block | Straight apostrophe used instead of typographic apostrophe in some places;All expected markers are present, correctly labeled, and in the right order. The extraction stops before the voting section, signatures, and publication, satisfying noise exclusion for those elements. However, minor formatting deviations and the inadvertent inclusion of the table heading affect boundary accuracy and text fidelity.
ATTO_010;DOCLING;JSON;pdf_text_layer;0;5;10;30;80;30;Etichetta marker non corrisponde a nessuna delle etichette attese (PREMESSO, VISTO, RITENUTO, ecc.) | Recuperato solo un frammento del testo, omettendo la maggior parte dei contenuti e dei marker previsti | I limiti del blocco sono errati: l'estrazione include testo successivo alla sezione di acquisizione dei pareri e si interrompe bruscamente | Il testo estratto contiene parti corrette ma anche omissioni significative e non mantiene l'ordine originale;L'output sembra essere una semplice concatenazione di una parte del riferimento senza alcun tentativo di identificare i marcatori istituzionali o di rispettare i confini di sezione.
ATTO_010;DOCLING;MARKDOWN;pdf_text_layer;0;5;10;30;80;30;Etichetta marker non corrisponde a nessuna delle etichette attese (PREMESSO, VISTO, RITENUTO, ecc.) | Recuperato solo un frammento del testo, omettendo la maggior parte dei contenuti e dei marker previsti | I limiti del blocco sono errati: l'estrazione include testo successivo alla sezione di acquisizione dei pareri e si interrompe bruscamente | Il testo estratto contiene parti corrette ma anche omissioni significative e non mantiene l'ordine originale;Identico al candidato JSON, dunque affetto dagli stessi problemi di mancata riconoscimento dei marcatori e di delimitazione imprecisa.
ATTO_011;DOCLING;JSON;pdf_text_layer;100;100;100;100;100;100;;Estrazione perfetta corrispondente al riferimento: tutti i marker presenti, testi identici, nessun rumore incluso.
ATTO_011;DOCLING;MARKDOWN;pdf_text_layer;100;100;100;100;100;100;;"Identica all'estrazione JSON; corrisponde fedelmente al testo di riferimento senza omissioni o allucinazioni."
ATTO_012;DOCLING;JSON;pdf_text_layer;60;100;30;55;45;58;Marker labels include non-standard suffixes (_1, _2) and one non-standard marker (ACQUISITI_PARERI_1). | Boundary ends with OCR noise ('Risr r e n rne n Romna') instead of stopping cleanly before voting/table/dispositivo sections. | Text fidelity affected by trailing noise and minor omission of any concluding sentence after the acquisiti pareri clause. | Noise exclusion partially failed due to inclusion of the trailing garbage string.;The JSON candidate captures all substantive deliberation markers and their content but suffers from formatting artifacts and poor boundary detection, leading to inclusion of OCR noise and incomplete exclusion of non‑deliberative sections.
ATTO_012;DOCLING;MARKDOWN;pdf_text_layer;60;100;30;55;45;58;Marker labels include non-standard suffixes (_1, _2) and one non-standard marker (ACQUISITI_PARERI_1). | Boundary ends with OCR noise ('Risr r e n rne n Romna') instead of stopping cleanly before voting/table/dispositivo sections. | Text fidelity affected by trailing noise and minor omission of any concluding sentence after the acquisiti pareri clause. | Noise exclusion partially failed due to inclusion of the trailing garbage string.;The Markdown candidate mirrors the JSON candidate's strengths and weaknesses: correct substantive content but marred by marker formatting issues, poor boundary detection, and residual OCR noise.
ATTO_013;DOCLING;JSON;pdf_text_layer;57;38;20;40;90;49;Missing many deliberative points (DI …) | Incorrect marker labels (VISTO vs VISTI, VISTO_2 vs Vista) | Extra marker ACQUISITI_PARERI not matching reference | Missing voting and dispositivo sections;Candidate captures the PREMESSO, CONSIDERATO and RITENUTO blocks correctly but omits substantial parts of the deliberation and mislabels several markers.
ATTO_013;DOCLING;MARKDOWN;pdf_text_layer;57;38;20;40;90;49;Missing many deliberative points (DI …) | Incorrect marker labels (VISTO vs VISTI, VISTO_2 vs Vista) | Extra marker ACQUISITI_PARERI not matching reference | Missing voting and dispositivo sections;"Same content as the JSON candidate; markdown formatting does not change the evaluation."
ATTO_015;DOCLING;JSON;pdf_text_layer;22;48;18;52;78;44;"Marker labels spesso non corrispondono a quelli del riferimento (es. PRESO_ATTO invece di ""PRESO ATTO"", VISTO invece di ""VISTI""). | Mancano diversi marker narrativi presenti nel testo di riferimento (secondo PRESO ATTO, VISTA, secondo VISTI). | I blocchi si interrompono prima della sezione DELIBERA e dei relativi allegati, omettendo parti sostanziali del verbale. | Il testo estratto presenta alcune modifiche di maiuscole/minuscole e mancata corrispondenza di alcune frasi (es. omissione di parti del secondo PRESO ATTO). | Alcuni contenuti di rumore (certificati, firme, pubblicazione) sono correttamente esclusi, ma anche parti utili vengono eliminate insieme al rumore.";L'estrattore ha catturato la maggior parte del contenuto normativo iniziale ma ha perso precisione nei marker e nella completezza dei blocchi, influenzando gravemente i punteggi di boundary e recall.
ATTO_015;DOCLING;MARKDOWN;pdf_text_layer;22;48;18;52;78;44;"Marker labels spesso non corrispondono a quelli del riferimento (es. PRESO_ATTO invece di ""PRESO ATTO"", VISTO invece di ""VISTI""). | Mancano diversi marker narrativi presenti nel testo di riferimento (secondo PRESO ATTO, VISTA, secondo VISTI). | I blocchi si interrompono prima della sezione DELIBERA e dei relativi allegati, omettendo parti sostanziali del verbale. | Il testo estratto presenta alcune modifiche di maiuscole/minuscole e mancata corrispondenza di alcune frasi (es. omissione di parti del secondo PRESO ATTO). | Alcuni contenuti di rumore (certificati, firme, pubblicazione) sono correttamente esclusi, ma anche parti utili vengono eliminate insieme al rumore.";L'estrattore ha catturato la maggior parte del contenuto normativo iniziale ma ha perso precisione nei marker e nella completezza dei blocchi, influenzando gravemente i punteggi di boundary e recall.
ATTO_016;DOCLING;JSON;pdf_text_layer;92;100;95;96;100;97;Label VISTO_1 should be VISTI_1 (incorrect marker name) | Minor punctuation/accent differences (e.g., missing accent in L’Associazione) | Missing final deliberation section (voti unanimi, DELIBERA, punti 1‑6, firme) – excluded per boundary rules but affects completeness;"All expected markers up to RICONOSCIUTA are present and correctly ordered; noise (certificati, firme, pubblicazione, dispositivo) properly omitted."
ATTO_016;DOCLING;MARKDOWN;pdf_text_layer;92;100;95;96;100;97;Label VISTO_1 should be VISTI_1 (incorrect marker name) | Minor punctuation/accent differences (e.g., missing accent in L’Associazione) | Missing final deliberation section (voti unanimi, DELIBERA, punti 1‑6, firme) – excluded per boundary rules but affects completeness;"Content mirrors JSON version; same strengths and minor issues apply."
ATTO_017;DOCLING;JSON;pdf_text_layer;45;31;20;25;80;30;Marker labels often incorrect (VISTO instead of VISTA, ACQUISITO instead of ACQUISITI) | Missing many reference markers (PROPONE block, DELIBERA, PARERE sections, ATTESTAZIONE, ATTESTATO, COPIA CONFORME) | Boundary stops before the deliberation and subsequent acts, omitting device and voting parts | Large portions of text omitted, leading to low fidelity | No inclusion of extraneous noise (certificates, signatures, publication) which is good;The JSON output captures the initial DATO ATTO, RICHIAMATO, CONSIDERATO, RITENUTO and a few VISTA-like entries but mislabels them and stops early, resulting in poor recall and boundary accuracy.
ATTO_017;DOCLING;MARKDOWN;pdf_text_layer;45;31;20;25;80;30;Marker labels often incorrect (VISTO instead of VISTA, ACQUISITO instead of ACQUISITI) | Missing many reference markers (PROPONE block, DELIBERA, PARERE sections, ATTESTAZIONE, ATTESTATO, COPIA CONFORME) | Boundary stops before the deliberation and subsequent acts, omitting device and voting parts | Large portions of text omitted, leading to low fidelity | No inclusion of extraneous noise (certificates, signatures, publication) which is good;"Identical to the JSON candidate; same shortcomings in marker correctness, recall, boundary coverage and fidelity."
ATTO_018;DOCLING;JSON;pdf_text_layer;88;82;95;70;95;84;Label mismatch for VISTA (marked as VISTO) | Missing RIUNITO marker | Incorrect label ACQUISITO instead of ACQUISITI | Case alterations in text (e.g., TENUTO CONTO, STABILITO, INDIVIDUATI, ATTO);"Captured most markers and stopped before voting/device; good boundary and noise exclusion; text fidelity affected by case changes and label errors."
ATTO_018;DOCLING;MARKDOWN;pdf_text_layer;88;82;95;60;90;83;"Label mismatch for VISTA (marked as VISTO) | Missing RIUNITO marker | Incorrect label ACQUISITO instead of ACQUISITI | Case alterations in text (e.g., TENUTO CONTO, STABILITO, INDIVIDUATI, ATTO) | HTML entity &amp; used instead of '&' | A&amp;T used instead of A&T";Similar to JSON capture but with additional HTML entity noise and incorrect ampersand representation, lowering text fidelity and noise exclusion.
ATTO_019;DOCLING;JSON;pdf_text_layer;55;30;40;45;55;45;Markers are sometimes merged (e.g., ATTESO_2 includes the PROPONE section), missing separate PROPONE, VISTA, VISTO, RIUNITO markers. | Recall low: many subsequent markers and sections after the PROPONE block are omitted. | Boundary extends past the required stop point (includes voting results) and omits initial header/attendance. | Text omits large portions of the original narrative (headers, attendee list, opening, technical opinions, signatures, attestations). | Includes voting section which should be excluded as noise per instructions.;JSON candidate correctly captures the core PREMESSO‑DATO ATTO‑VISTO‑RITENUTO‑CONSIDERATO‑ATTESO sequence but fails to maintain proper marker separation, stops too late, and loses significant narrative content.
ATTO_019;DOCLING;MARKDOWN;pdf_text_layer;55;30;40;42;55;42;"Same marker precision and recall issues as JSON. | HTML entity &amp; used instead of '&' in 'A&T', reducing text fidelity. | Boundary and noise issues identical to JSON. | Includes voting section that should be excluded.";Markdown candidate mirrors JSON content but introduces an extra fidelity error with escaped ampersand, slightly lowering overall score.
ATTO_020;DOCLING;JSON;pdf_text_layer;67;83;40;45;90;65;"Marker ATTESO_2 incorrectly includes PROPONE content | Marker VISTO_3 should be VISTA | Marker VISTO_4 and VISTO_5 include extra text beyond the VISTO clause | Marker DATO_ATTO_4 includes voting and device content, exceeding the boundary | Missing PROPONE marker | Missing ""IL CONSIGLIO COMUNALE"" header";The JSON captures most preamble markers but mislabels several blocks and exceeds the voting boundary.
ATTO_020;DOCLING;MARKDOWN;pdf_text_layer;67;83;40;45;90;65;"Marker ATTESO_2 incorrectly includes PROPONE content | Marker VISTO_3 should be VISTA | Marker VISTO_4 and VISTO_5 include extra text beyond the VISTO clause | Marker DATO_ATTO_4 includes voting and device content, exceeding the boundary | Missing PROPONE marker | Missing ""IL CONSIGLIO COMUNALE"" header | HTML entities such as &amp; appear instead of plain '&'";The Markdown version mirrors the JSON errors and introduces minor text fidelity issues due to HTML escaping.
