id_delibera;estrattore;format;reference_source;marker_precision;marker_recall;boundary_accuracy;text_fidelity;noise_exclusion;overall_score;issues;notes
ATTO_007;DOCLING;JSON;pdf_text_layer;56;56;30;55;95;58;Marker labels incorrect: VISTO used instead of VISTA (entries 2,6,14), VISTO used instead of VISTE (entry 12), DATO_ATTO used instead of DATO ATTO (entries 7,11), VISTI_PARERI_1 used instead of VISTI (entry 16) | Missing narrative blocks: 'PROPONE DI DELIBERARE' with enumerated points 1)-5), 'LA GIUNTA COMUNALE' line, and the voting/devices section (DELIBERA, signatures, certificate, executivity) | Stopped before voting section correctly, but omitted essential proposal content, causing incomplete boundary;Extracted text is faithful to source where present, with no hallucinations, but significant omissions and label errors reduce precision, recall, boundary accuracy, and fidelity. Noise (certificates, signatures, publication) correctly excluded.
ATTO_007;DOCLING;MARKDOWN;pdf_text_layer;56;56;30;55;95;58;Marker labels incorrect: VISTO used instead of VISTA (entries 2,6,14), VISTO used instead of VISTE (entry 12), DATO_ATTO used instead of DATO ATTO (entries 7,11), VISTI_PARERI_1 used instead of VISTI (entry 16) | Missing narrative blocks: 'PROPONE DI DELIBERARE' with enumerated points 1)-5), 'LA GIUNTA COMUNALE' line, and the voting/devices section (DELIBERA, signatures, certificate, executivity) | Stopped before voting section correctly, but omitted essential proposal content, causing incomplete boundary;Extracted text is faithful to source where present, with no hallucinations, but significant omissions and label errors reduce precision, recall, boundary accuracy, and fidelity. Noise (certificates, signatures, publication) correctly excluded.
ATTO_008;DOCLING;JSON;pdf_text_layer;20;100;95;98;98;82;Etichette marker non corrispondono esattamente a PREMESSO, CONSIDERATO, RITENUTO, VISTI, ACQUISITI (presenti suffissi _1 e ACQUISITI_PARERI_1) | Mancano i punti di deliberazione (DELIBERA) e le parti finali di firma/attestazione, sebbene esclusi volontariamente come rumore;Tutti i contenuti delle sezioni PREMESSO, CONSIDERATO, RITENUTO, VISTI e ACQUISITI sono presenti, corretti e senza omissioni o allucinazioni. La delimitazione si ferma correttamente prima della sezione dispositiva, escludendo rumore come firme, pubblicazione e dispositivo.
ATTO_008;DOCLING;MARKDOWN;pdf_text_layer;20;100;95;98;98;82;Etichette marker non corrispondono esattamente a PREMESSO, CONSIDERATO, RITENUTO, VISTI, ACQUISITI (presenti suffissi _1 e ACQUISITI_PARERI_1) | Mancano i punti di deliberazione (DELIBERA) e le parti finali di firma/attestazione, sebbene esclusi volontariamente come rumore;Il contenuto testuale delle sezioni richieste è fedele al riferimento, senza alterazioni. La struttura markdown mantiene le stesse informazioni del JSON, con la stessa corretta esclusione del dispositivo e dei relativi elementi di chiusura.
ATTO_009;DOCLING;JSON;pdf_text_layer;100;57;20;30;90;58;Missing markers such as LA GIUNTA COMUNALE, A votazione unanime e palese, DELIBERA, Infine la Giunta Comunale, PUBBLICAZIONE, ATTESTAZIONE, etc. | Text stops before the deliberation points and tables, omitting substantive content. | Marker labels include unnecessary suffixes (_1) which deviate from the expected marker format.;The captured segments are faithful to the source but the coverage is insufficient for a complete deliberation segmentation.
ATTO_009;DOCLING;MARKDOWN;pdf_text_layer;100;57;20;30;90;58;Missing markers such as LA GIUNTA COMUNALE, A votazione unanime e palese, DELIBERA, Infine la Giunta Comunale, PUBBLICAZIONE, ATTESTAZIONE, etc. | Text stops before the deliberation points and tables, omitting substantive content. | Marker labels include unnecessary suffixes (_1) which deviate from the expected marker format.;The captured segments are faithful to the source but the coverage is insufficient for a complete deliberation segmentation.
ATTO_010;DOCLING;ERRORE;;;;;;;;;<urlopen error [WinError 10061] Impossibile stabilire la connessione. Rifiuto persistente del computer di destinazione>
ATTO_011;DOCLING;ERRORE;;;;;;;;;<urlopen error [WinError 10061] Impossibile stabilire la connessione. Rifiuto persistente del computer di destinazione>
ATTO_012;DOCLING;ERRORE;;;;;;;;;<urlopen error [WinError 10061] Impossibile stabilire la connessione. Rifiuto persistente del computer di destinazione>
ATTO_013;DOCLING;ERRORE;;;;;;;;;<urlopen error [WinError 10061] Impossibile stabilire la connessione. Rifiuto persistente del computer di destinazione>
ATTO_015;DOCLING;ERRORE;;;;;;;;;<urlopen error [WinError 10061] Impossibile stabilire la connessione. Rifiuto persistente del computer di destinazione>
ATTO_016;DOCLING;ERRORE;;;;;;;;;<urlopen error [WinError 10061] Impossibile stabilire la connessione. Rifiuto persistente del computer di destinazione>
ATTO_017;DOCLING;ERRORE;;;;;;;;;<urlopen error [WinError 10061] Impossibile stabilire la connessione. Rifiuto persistente del computer di destinazione>
ATTO_018;DOCLING;ERRORE;;;;;;;;;<urlopen error [WinError 10061] Impossibile stabilire la connessione. Rifiuto persistente del computer di destinazione>
ATTO_019;DOCLING;ERRORE;;;;;;;;;<urlopen error [WinError 10061] Impossibile stabilire la connessione. Rifiuto persistente del computer di destinazione>
ATTO_020;DOCLING;ERRORE;;;;;;;;;<urlopen error [WinError 10061] Impossibile stabilire la connessione. Rifiuto persistente del computer di destinazione>
